,0,humidity,temp,wind,clouds,press,name,lat,lon
0,yumen,52,58.58,5.41,0,849.58,Yumen,40.28,97.2
1,mayumba,92,75.5,9.44,68,1014.62,Mayumba,-3.43,10.66
2,albany,69,75.2,9.17,75,1012,Albany,42.65,-73.76
3,busselton,100,59.12,17.38,92,1032.37,Busselton,-33.65,115.33
4,illoqqortoormiut,57,78.8,8.05,75,1015,Trevi,41.9,12.49
5,novyy urgal,83,46.34,3.06,44,983.49,Novyy Urgal,51.07,132.56
6,jamestown,93,64.4,6.93,90,1014,Jamestown,42.1,-79.24
7,nanortalik,88,42.2,25.32,100,1006.67,Nanortalik,60.14,-45.24
8,marcona,99,58.58,21.63,92,1021.18,San Juan,-15.37,-75.16
9,paamiut,78,46.43,41.65,92,1005.13,Paamiut,61.99,-49.67
10,quebo,85,85.85,12.46,12,1023.53,Quebo,11.33,-14.93
11,mys shmidta,35,76.22,3.96,0,1006.26,Starobesheve,47.75,38.03
12,iqaluit,75,44.6,8.05,90,999,Iqaluit,63.75,-68.51
13,saint-philippe,60,75.2,3.36,90,1017,Saint-Philippe,-21.36,55.77
14,clyde river,100,32,10.29,90,1015,Clyde River,70.47,-68.59
15,bluff,99,51.56,7.2,92,1006.26,Bluff,-46.6,168.33
16,saint-pierre,60,75.2,3.36,90,1017,Saint-Pierre,-21.34,55.48
17,umzimvubu,55,63.35,3.18,8,879.24,Kokstad,-30.55,29.42
18,punta arenas,92,40.4,30.58,48,997.92,Punta Arenas,-53.15,-70.92
19,mwinilunga,15,85.94,5.53,0,872.92,Mwinilunga,-11.74,24.43
20,hilo,78,73.4,3.36,90,1013,Hilo,19.73,-155.09
22,bafia,69,80,3.29,80,961.2,Bafia,4.75,11.23
23,mataura,78,82.4,2.24,75,1007,Mathura,27.5,77.68
24,peniche,61,77,19.46,20,1019,Peniche,39.36,-9.38
25,mar del plata,55,62.6,16.11,0,1011,Mar del Plata,-38,-57.56
26,provideniya,100,41.84,8.32,92,1011.45,Provideniya,64.38,-173.3
27,okhotsk,100,44.72,3.51,68,1021.35,Okhotsk,59.38,143.3
28,kapaa,88,75.2,8.05,20,1013,Kapaa,22.08,-159.32
30,leningradskiy,100,34.82,17.72,92,1008.7,Leningradskiy,69.38,178.42
31,chuy,100,59.39,11.23,100,1023.62,Chuy,-33.7,-53.46
32,peikang,94,77,4.63,75,1010,Pekan,3.48,103.4
33,touros,72,82.88,20.85,0,1024.02,Touros,-5.2,-35.46
35,nishihara,78,82.4,16.11,75,1006,Nishihara,26.18,127.76
36,bambous virieux,64,71.6,3.36,20,1018,Bambous Virieux,-20.34,57.76
37,rikitea,100,69.56,9.89,80,1031.72,Rikitea,-23.12,-134.97
38,mahebourg,64,71.6,3.36,20,1018,Mahebourg,-20.41,57.7
39,dikson,100,37.79,15.93,88,1023.86,Dikson,73.51,80.55
40,saldanha,55,60.8,18.34,0,1019,Saldanha,-33.01,17.94
41,barrow,100,33.8,6.93,75,1006,Barrow,71.29,-156.79
42,mmabatho,8,91.4,3.36,0,1021,Mmabatho,-25.85,25.63
43,dunedin,83,45.17,8.1,68,970.92,Dunedin,-45.87,170.5
44,magadan,100,24.8,12.35,8,1015,Magadan,59.57,150.8
45,ambovombe,58,77.66,10.78,0,1016.89,Ambovombe,-25.17,46.08
46,jiddah,63,93.2,4.7,0,1003,Jeddah,21.52,39.22
47,taoudenni,10,111.5,14.25,24,988.03,Taoudenni,22.68,-3.98
48,kaitangata,89,52.91,9.44,24,991.43,Balclutha,-46.23,169.75
49,puerto ayora,83,69.8,18.34,75,1016,Puerto Ayora,-0.74,-90.35
51,vaini,77,68,3.36,20,1019,Vaini,-21.2,-175.2
52,tarauaca,74,87.47,3.74,24,1004.4,Tarauaca,-8.16,-70.77
53,sao joao da barra,45,82.4,23.04,0,1021,Sao Joao da Barra,-21.64,-41.05
54,hobart,65,46.4,5.82,75,1006,Hobart,-42.88,147.33
56,kavieng,100,83.42,4.41,44,1021.1,Kavieng,-2.57,150.8
57,qaanaaq,100,24.83,5.64,32,1000.19,Qaanaaq,77.48,-69.36
58,kodiak,87,51.8,14.99,90,1012,Kodiak,57.79,-152.41
59,marawi,98,68.12,1.61,36,937.12,Marawi,8,124.29
60,pontalina,33,88.19,16.37,0,954.47,Pontalina,-17.52,-49.45
61,lebu,100,50.21,17.6,64,1041.45,Lebu,-37.62,-73.65
62,tolosa,49,68,6.93,40,1023,Tolosa,43.13,-2.08
64,berlevag,86,44.6,26.4,75,1001,Berlevag,70.86,29.09
65,high level,87,42.8,2.24,40,1021,High Level,58.52,-117.14
